layout,problem,m,n,k,required,threads,blas,impl,time_ms,gflops,speedup,correct,timestamp,hostname,file
row-major,4000x16000x128,4000,16000,128,True,8,mkl,reference,25.744496,636.407871,1.0,True,2026-06-23T21:21:46,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_row.json
row-major,4000x16000x128,4000,16000,128,True,16,mkl,reference,15.829481,1035.030794,1.0,True,2026-06-23T21:21:52,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_row.json
row-major,4000x16000x128,4000,16000,128,True,24,mkl,reference,12.981734,1262.08099,1.0,True,2026-06-23T21:21:58,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_row.json
row-major,4000x16000x128,4000,16000,128,True,48,mkl,reference,17.837718,918.503148,1.0,True,2026-06-23T21:22:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_row.json
row-major,4000x16000x128,4000,16000,128,True,96,mkl,reference,4.155181,3943.029661,1.0,True,2026-06-23T21:22:08,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_row.json
col-major,8x16x16000,8,16,16000,True,1,mkl,reference,0.226313,18.098867,1.0,True,2026-06-23T21:21:14,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_col.json
col-major,8x16x16000,8,16,16000,True,2,mkl,reference,0.100426,40.786211,1.0,True,2026-06-23T21:21:31,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_col.json
col-major,8x16x16000,8,16,16000,True,4,mkl,reference,0.048294,84.814155,1.0,True,2026-06-23T21:21:42,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_col.json
col-major,8x16x16000,8,16,16000,True,8,mkl,reference,0.028475,143.845001,1.0,True,2026-06-23T21:21:49,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_col.json
col-major,8x16x16000,8,16,16000,True,16,mkl,reference,0.022835,179.371534,1.0,True,2026-06-23T21:21:55,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_col.json
col-major,8x16x16000,8,16,16000,True,24,mkl,reference,0.026807,152.798019,1.0,True,2026-06-23T21:22:00,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_col.json
col-major,8x16x16000,8,16,16000,True,48,mkl,reference,0.029971,136.664663,1.0,True,2026-06-23T21:22:06,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_col.json
